3,Who wrote "Romeo and Juliet"?,Shakespeare,Dickens,Hemingway,Tolkien,Shakespeare
63,What is the capital of Russia?,Moscow,Kiev,St. Petersburg,Minsk,Moscow
41,Who painted the ceiling of the Sistine Chapel?,Leonardo da Vinci,Michelangelo,Raphael,Donatello,Michelangelo
9,Which country is known as the Land of the Rising Sun?,China,South Korea,Japan,Thailand,Japan
29,Which is the smallest bone in the human body?,Femur,Humerus,Stapes,Ulna,Stapes
20,What is the currency of Japan?,Yuan,Dollar,Euro,Yen,Yen
38,Which bird is often associated with delivering babies?,Swan,Stork,Pigeon,Eagle,Stork
44,Who is the Greek god of the sea?,Zeus,Hades,Poseidon,Ares,Poseidon
47,What is the currency of India?,Rupee,Dollar,Pound,Yen,Rupee
25,Who wrote "1984"?,George Orwell,Aldous Huxley,J.K. Rowling,F. Scott Fitzgerald,George Orwell
35,What is the chemical formula for water?,H2O,CO2,O2,NaCl,H2O
54,What is the longest river in the United States?,Missouri,Mississippi,Yukon,Rio Grande,Mississippi
12,Who painted the Mona Lisa?,Michelangelo,Van Gogh,Da Vinci,Picasso,Da Vinci
62,Who invented the light bulb?,Nikola Tesla,Thomas Edison,Alexander Graham Bell,James Watt,Thomas Edison
67,What is the most spoken language in the world?,Spanish,English,Hindi,Mandarin,Mandarin
75,What is the largest island in the world?,Greenland,Australia,New Guinea,Borneo,Greenland
13,What is the largest mammal?,Elephant,Whale,Shark,Giraffe,Whale
19,Which is the smallest continent?,Europe,Asia,Australia,Antarctica,Australia
46,Which is the only mammal capable of true flight?,Eagle,Bat,Pigeon,Butterfly,Bat
40,What is the name of the longest bone in the human body?,Femur,Humerus,Radius,Tibia,Femur
14,Who discovered penicillin?,Marie Curie,Alexander Fleming,Isaac Newton,Albert Einstein,Alexander Fleming
15,What is the square root of 64?,6,7,8,9,8 16
4,What is the smallest prime number?,0,1,2,3,2
65,Who painted "Starry Night"?,Monet,Van Gogh,Da Vinci,Picasso,Van Gogh
57,What is the hardest rock?,Granite,Marble,Diamond,Quartz,Diamond
8,What is the hardest natural substance on Earth?,Diamond,Gold,Iron,Platinum,Diamond
66,What is the national sport of Japan?,Baseball,Soccer,Sumo wrestling,Basketball,Sumo wrestling
18,What is the capital of Italy?,Paris,Rome,Berlin,Madrid,Rome
32,Who developed the theory of relativity?,Isaac Newton,Nikola Tesla,Albert Einstein,Galileo Galilei,Albert Einstein
42,What is the main language spoken in Brazil?,Spanish,Portuguese,English,French,Portuguese
33,What is the largest desert in the world?,Sahara,Arctic,Antarctic,Arabian,Antarctic
37,What is the most abundant gas in the Earth's atmosphere?,Oxygen,Carbon Dioxide,Nitrogen,Hydrogen,Nitrogen
49,What is the atomic number of carbon?,4,6,8,12,6
55,Which country is known for inventing pizza?,France,Germany,Italy,Greece,Italy
60,Who was the first female Prime Minister of the UK?,Margaret Thatcher,Angela Merkel,Indira Gandhi,Golda Meir,Margaret Thatcher
27,Which animal is known as the King of the Jungle?,Tiger,Lion,Elephant,Leopard,Lion
24,In which year did the Titanic sink?,1912,1905,1920,1898,1912
39,What is the capital of Australia?,Sydney,Melbourne,Canberra,Brisbane,Canberra
64,Which country is the largest by area?,Canada,China,USA,Russia,Russia
79,What is the hardest substance in the human body?,Bone,Tooth enamel,Hair,Nail,Tooth enamel
5,Which ocean is the largest?,Atlantic,Indian,Arctic,Pacific,Pacific
59,What is the main ingredient in hummus?,Chickpeas,Lentils,Beans,Peas,Chickpeas
34,Which country hosted the 2016 Summer Olympics?,China,UK,Brazil,USA,Brazil
69,What is the chemical formula for table salt?,H2O,CO2,NaCl,O2,NaCl
23,What is the largest planet in our solar system?,Earth,Mars,Jupiter,Saturn,Jupiter
16,Which ocean is the smallest?,Atlantic,Indian,Arctic,Pacific,Arctic
56,Who wrote "The Great Gatsby"?,Ernest Hemingway,Mark Twain,F. Scott Fitzgerald,John Steinbeck,F. Scott Fitzgerald
17,Who is known as the Father of Computers?,Bill Gates,Charles Babbage,Steve Jobs,Alan Turing,Charles Babbage
2,Which planet is known as the Red Planet?,Earth,Mars,Jupiter,Saturn,Mars
10,What is the main ingredient in guacamole?,Tomato,Onion,Avocado,Chili,Avocado
21,Which is the longest river in the world?,Amazon,Nile,Mississippi,Thames,Nile
70,What is the smallest country in the world?,Monaco,San Marino,Liechtenstein,Vatican City,Vatican City
45,What is the tallest mountain in the world?,K2,Kangchenjunga,Everest,Denali,Everest
50,Which city is known as the Big Apple?,Los Angeles,San Francisco,New York,Chicago,New York
22,Who invented the telephone?,Alexander Graham Bell,Thomas Edison,Nikola Tesla,Samuel Morse,Alexander Graham Bell
11,Which planet is closest to the sun?,Earth,Mars,Venus,Mercury,Mercury
71,Who developed the first successful polio vaccine?,Alexander Fleming,Marie Curie,Jonas Salk,Edward Jenner,Jonas Salk
1,What is the capital of France?,Paris,Rome,Berlin,Madrid,Paris
52,What is the chemical symbol for silver?,Si,Ag,Au,Sn,Ag
58,Which planet is known as the Earth's twin?,Mars,Jupiter,Venus,Saturn,Venus
73,Who is known as the "King of Pop"?,Elvis Presley,Prince,Michael Jackson,Freddie Mercury,Michael Jackson
43,Which planet is known for its rings?,Venus,Mars,Saturn,Jupiter,Saturn
30,Who was the first woman to win a Nobel Prize?,Marie Curie,Jane Austen,Amelia Earhart,Mother Teresa,Marie Curie
28,What is the main ingredient in traditional paella?,Chicken,Beef,Pork,Rice,Rice
72,What is the main ingredient in traditional sushi?,Beef,Chicken,Vegetables,Rice,Rice
7,Who was the first President of the United States?,George Washington,Thomas Jefferson,John Adams,Benjamin Franklin,George Washington
48,Who wrote "Pride and Prejudice"?,Charlotte Bronte,Jane Austen,Emily Bronte,George Eliot,Jane Austen
